,team,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,spread,def_rush_att,def_rush_tds,off_rush_att,off_rush_tds,def_pass_cmp,def_pass_att,def_pass_tds,def_pass_ints,off_pass_cmp,off_pass_att,off_pass_tds,off_pass_ints,def_sacks,def_sack_yds,tm_penalty,tm_penalty_yds,opp_penalty,opp_penalty_yds
50,49ers,2,Sun,September 18,home,seahawks,27,7,15,24,184,1,0,1,0,7.7,7.4,62.5,100.0,45,189,4.2,2,2,3,6,15,2,3,38:20,2,1-1,25,,14,216,180,36,3.0,16.39,9.18,-7.67,9.0,14,0,45,2,24,31,0,2,15,24,1,0,2,17,1,26,10,106
51,seahawks,2,Sun,September 18,away,49ers,7,27,24,31,180,0,2,2,17,6.4,5.5,77.4,63.9,14,36,2.6,0,0,0,2,7,0,0,21:40,2,1-1,14,3.0,25,373,184,189,,-9.18,-16.39,7.67,-9.0,45,2,14,0,15,24,1,0,24,31,0,2,1,0,10,106,1,26
52,cowboys,2,Sun,September 18,home,bengals,20,17,19,31,230,1,0,1,5,7.6,7.2,61.3,94.8,27,107,4.0,1,2,2,3,10,1,1,26:12,2,1-1,19,1.0,19,254,165,89,,6.08,-0.76,-1.25,7.0,25,0,27,1,24,36,1,0,19,31,1,0,6,34,5,45,7,35
53,bengals,2,Sun,September 18,away,cowboys,17,20,24,36,165,1,0,6,34,5.5,3.9,66.7,86.0,25,89,3.6,0,3,3,6,17,1,1,33:48,2,0-2,19,,19,337,230,107,1.0,0.76,-6.08,1.25,-7.0,27,1,25,0,19,31,1,0,24,36,1,0,1,5,7,35,5,45
54,raiders,2,Sun,September 18,home,cardinals,23,29,25,39,244,2,0,1,8,6.5,6.1,64.1,98.7,21,80,3.8,0,3,3,6,11,0,0,29:47,2,0-2,20,1.0,28,413,270,143,1.0,4.86,-12.0,-1.75,5.5,28,2,21,0,31,49,1,1,25,39,2,0,1,7,10,68,12,120
55,cardinals,2,Sun,September 18,away,raiders,29,23,31,49,270,1,1,1,7,5.7,5.4,63.3,76.1,28,143,5.1,2,0,0,3,13,3,5,36:22,2,1-1,28,1.0,20,324,244,80,1.0,12.0,-4.86,1.75,-5.5,21,0,28,2,25,39,2,0,31,49,1,1,1,8,12,120,10,68
56,broncos,2,Sun,September 18,home,texans,16,9,14,31,201,1,1,3,18,7.1,5.9,45.2,64.0,31,149,4.8,0,3,3,3,12,1,1,32:33,2,1-1,20,1.0,15,234,154,80,,3.38,12.19,-5.2,10.0,18,0,31,0,19,38,0,0,14,31,1,1,3,23,13,100,8,94
57,texans,2,Sun,September 18,away,broncos,9,16,19,38,154,0,0,3,23,4.7,3.8,50.0,60.6,18,80,4.4,0,3,3,2,13,1,3,27:27,2,0-1-1,15,,20,350,201,149,1.0,-12.19,-3.38,5.2,-10.0,31,0,18,0,14,31,1,1,19,38,0,0,3,18,8,94,13,100
58,packers,2,Sun,September 18,home,bears,27,10,19,25,211,2,0,3,23,9.4,7.5,76.0,127.2,38,203,5.3,1,2,2,5,9,0,0,37:15,2,1-1,26,1.0,11,228,48,180,1.0,16.87,4.4,-1.71,10.0,27,1,38,1,7,11,0,1,19,25,2,0,3,22,3,25,7,50
59,bears,2,Sun,September 18,away,packers,10,27,7,11,48,0,1,3,22,6.4,3.4,63.6,35.4,27,180,6.7,1,1,1,1,7,0,1,22:45,2,1-1,11,1.0,26,414,211,203,1.0,-4.4,-16.87,1.71,-10.0,38,1,27,1,19,25,2,0,7,11,0,1,3,23,7,50,3,25
